userID	itemID	label
5300	12010	1
13881	11714	0
2071	9334	0
16723	599	1
1291	7923	0
15659	539	1
17346	10011	0
6246	1058	1
2397	283	0
5111	7851	0
3021	4264	0
9124	7001	0
14847	2699	0
17386	6335	0
4822	160	1
2085	5880	0
16707	234	1
7789	7099	0
15095	9160	0
17017	1538	1
9173	7207	0
9394	275	1
11103	12004	0
2098	1203	1
14871	5	1
7663	11	1
8150	5224	0
11063	10880	1
2343	1627	1
5686	5533	1
16152	1315	0
16276	4364	1
417	2399	0
2251	1759	1
7286	157	1
2602	981	0
14387	453	1
4369	8274	1
15471	5	1
6011	4369	1
17439	1645	1
7270	12029	0
8948	5	1
15921	1553	1
7726	5	1
15142	12152	0
11921	1805	1
7451	11453	1
13279	3650	0
17245	391	1
8687	5	1
5474	546	1
790	14055	0
11623	285	1
16277	103	1
2931	1458	0
17297	11682	0
3964	9682	0
7293	5	1
12284	13876	0
2477	4598	1
13325	4468	1
2593	750	1
12066	3741	0
11328	3900	1
8537	12087	0
6385	9701	0
4310	2804	1
9869	266	1
327	14391	0
5291	10475	1
5805	1378	1
6514	127	0
569	594	1
9675	7752	0
3473	2100	0
8788	14961	0
1575	14520	0
1770	3309	1
11989	8030	1
17385	2293	1
14718	13513	0
6374	4849	1
13620	11561	0
5533	12216	1
12296	11834	0
7707	356	1
6501	2978	0
8391	2670	1
4587	9370	0
11245	422	0
11643	14764	0
17109	5715	1
6116	13091	0
12295	12	1
17243	929	1
5237	5893	0
17770	14348	0
6105	10697	0
6409	155	1
17731	11373	0
10552	7206	1
2981	5689	1
12175	8	1
13779	763	1
2200	356	1
2900	5079	1
522	445	1
14884	11464	1
8854	799	1
11132	4920	0
3580	6050	0
8423	1568	1
10032	7062	0
14025	4064	1
13187	77	1
4741	1903	1
16470	662	1
1145	5936	0
2445	4635	1
10757	203	1
488	497	1
1442	4383	0
10138	11668	0
11718	3473	1
877	9091	0
11555	10520	1
13392	14750	0
11820	3584	1
4557	14103	0
4042	12473	0
17364	3216	0
5442	1996	1
11893	374	1
10858	733	1
17246	11532	0
10272	1375	1
4875	10347	0
6372	1118	0
12062	2596	1
790	7639	0
10020	3366	1
16526	14903	0
6650	12932	0
2045	9495	0
16511	1263	1
15222	7187	0
2736	413	1
12752	6564	1
1062	702	1
1004	1911	1
2927	745	1
3535	13693	0
15466	5	1
13940	5290	1
12762	8450	1
5136	998	0
1249	13169	0
1501	1923	1
4491	812	1
8569	593	0
13986	5280	0
3923	5	1
85	13897	1
9070	14646	0
1757	3297	1
15574	4045	1
10029	4338	0
15635	6393	1
8265	7087	1
4723	851	1
14847	8720	0
16117	2188	0
14761	11747	1
11164	5	1
4302	533	1
1554	2723	1
12464	6928	1
4435	8454	0
16645	12753	1
9077	5215	1
14824	13193	0
4919	4806	0
5247	5	1
187	113	1
13742	9119	0
8118	12682	0
8408	6656	0
3101	8508	0
10669	3251	1
10133	510	1
8686	1654	0
13245	8971	0
14427	10276	1
13593	2812	1
12071	12812	0
11576	3101	0
15676	2147	1
17145	8	1
13687	9888	0
3407	8150	0
10634	14203	0
790	12473	0
8349	3691	1
