userID	itemID	label
2355	624	1
691	1115	0
2422	2261	0
1982	975	1
2744	1772	1
1877	1637	0
385	1430	0
2014	1179	1
838	985	1
3207	2314	1
1066	2356	0
3157	1684	1
301	1601	0
2819	709	0
532	2440	0
1675	799	0
411	591	0
2886	165	1
1831	1787	0
1448	674	1
842	2197	0
3074	586	1
2506	1245	0
694	1584	1
1763	2048	1
1208	1947	1
3053	22	1
1877	231	1
2302	2268	1
1940	1246	1
1240	657	1
3162	2142	1
1305	1687	1
2965	1561	1
1086	1691	1
3054	1189	0
1181	1638	1
1697	468	0
976	1569	0
3110	611	0
2499	752	0
1879	1421	1
849	1290	0
3258	237	1
1338	1119	0
2506	248	1
148	1176	1
3293	1165	0
1982	1182	1
2195	73	0
542	1429	1
3269	197	0
435	312	1
1767	758	1
1071	566	1
2644	1300	1
2471	857	1
2690	737	1
751	2064	0
1835	591	0
2223	160	0
2063	800	1
2788	996	1
876	31	1
3028	2406	1
1100	2419	1
2021	577	1
712	793	1
1925	490	0
1879	481	0
1349	1959	0
4	1012	0
561	1440	0
2015	1247	0
1305	2049	1
3223	2128	0
2817	1068	1
935	0	1
1929	1602	0
875	1621	1
853	1088	0
283	1060	1
1835	1784	1
3028	62	0
2017	707	1
3176	2312	1
2642	2143	1
2615	801	1
318	19	1
1426	46	0
1732	2443	1
587	1838	0
1447	1345	1
838	1661	1
1821	16	1
650	437	0
2690	492	0
345	844	1
2114	2185	1
2134	1084	0
52	908	0
290	737	1
574	1630	1
1068	1076	1
1014	1169	1
2648	117	0
2367	1469	0
41	1836	1
491	993	0
1073	1925	0
2046	1004	0
162	160	1
2928	2286	1
2785	782	1
956	175	0
2014	784	1
2906	1477	0
923	1584	1
2783	376	0
930	939	0
466	1095	0
2565	1122	0
516	2245	0
695	363	0
223	1012	1
715	1636	0
548	750	1
366	44	0
2803	943	1
868	943	1
1623	774	1
2795	572	1
2565	1917	0
1938	165	1
318	2183	1
197	1215	1
2238	1205	1
957	1650	1
3326	454	0
299	1429	1
1290	457	0
1903	1867	0
3248	1946	1
1060	222	1
1462	523	0
3162	911	0
917	1518	0
2539	554	0
1860	1810	1
1267	277	0
3188	939	0
947	522	0
2575	738	1
101	661	1
998	987	1
2737	1380	1
3225	930	0
2055	1313	0
2454	1002	0
1047	968	1
2139	1259	1
547	2415	0
2021	113	1
1730	226	0
1786	1365	0
407	1883	0
1898	359	1
2618	953	0
893	791	1
2325	507	0
1679	2112	1
1654	2391	1
13	9	0
96	1935	1
423	623	0
1215	1049	1
2546	2234	1
2830	2392	1
1578	579	0
1271	180	0
1888	139	1
2942	1530	1
1610	217	0
2076	1309	0
947	754	1
231	285	1
548	1770	0
2015	570	0
1634	958	0
1779	539	0
3312	1863	0
2928	1939	0
3019	156	0
1879	1856	1
1777	788	0
1859	1451	1
1252	731	1
2354	1985	1
1996	1071	0
1421	768	1
1386	1731	1
645	379	1
186	2144	1
911	112	0
1065	2166	1
461	1883	1
430	780	1
2590	1028	0
367	1444	1
3028	673	0
1925	160	1
895	810	0
3031	378	1
437	1454	0
402	1672	0
1429	790	0
548	1518	1
155	2221	1
3265	925	0
766	1532	1
229	942	0
2258	1041	1
1218	870	1
189	1049	1
801	1722	0
186	1669	1
3258	485	0
769	1993	0
2321	622	0
1016	1063	0
1033	942	0
2230	1834	0
566	838	1
1638	2018	0
959	1939	1
2113	481	0
139	2131	0
1596	578	1
1061	2393	1
57	952	0
1900	98	0
2329	1282	1
1184	1325	0
1736	2347	1
1494	705	1
3188	1357	0
974	1706	1
224	2399	0
1446	2133	0
2646	1203	0
1806	773	1
3324	642	0
2367	771	0
408	267	0
1111	1401	0
3095	66	0
3299	799	1
2655	2151	1
1297	380	1
879	1417	0
2010	419	0
1715	1013	0
341	2039	0
2376	99	0
2109	657	1
3318	142	0
194	1463	0
923	186	0
239	2286	0
635	1285	1
1297	1357	0
1033	1459	1
681	1876	0
1119	1791	0
1638	1731	0
1297	1190	0
182	718	0
1067	802	0
1193	1418	0
2152	279	1
2971	2225	0
1087	1861	1
2457	2392	1
2352	745	1
2528	1849	1
198	1834	0
223	2047	1
550	1594	0
2388	1811	0
2592	1310	1
3166	907	0
2686	834	0
2528	1466	1
2230	974	0
1740	763	1
1864	1389	1
465	928	0
3021	2355	0
1801	52	0
3129	969	0
2680	624	1
1622	930	1
2050	1318	0
1874	1771	1
2717	231	1
1919	47	0
2683	359	1
2959	165	1
269	338	0
1276	1202	1
41	2184	1
2053	2099	0
2664	458	0
3124	1387	0
2780	1333	0
1015	226	1
1590	1727	1
1498	1225	1
1138	1584	1
481	1222	1
2823	541	1
1499	1906	1
630	578	1
691	657	1
2799	2331	0
3307	1418	0
1896	877	0
1202	2305	0
854	1452	0
2983	2	1
1543	748	1
213	0	1
1254	577	1
662	128	1
2887	356	1
1763	267	1
1997	1067	0
1065	566	1
1700	2229	0
3093	1949	1
1325	1978	1
194	1499	0
910	1973	0
850	2339	1
2251	1889	1
542	1973	1
1364	1605	0
1180	991	0
2016	1554	1
3019	923	0
3064	968	0
709	1287	1
220	2144	1
3313	1731	1
3268	1687	1
2278	425	0
1270	992	0
14	85	1
1600	415	0
270	1244	1
2459	1225	1
3066	506	1
1096	126	0
1942	1924	1
1838	154	1
1454	407	0
425	636	0
3320	748	1
3181	658	1
638	851	1
2814	1863	0
2731	983	0
2483	1832	0
2045	572	1
976	1826	1
505	1889	1
1736	1687	1
508	1920	0
148	154	1
2015	318	1
1968	1049	1
2505	168	1
2464	1842	0
2614	1719	1
186	1825	0
2241	2170	0
2136	2307	1
1733	1024	1
2873	1049	1
1711	191	1
2898	122	0
2496	1942	1
910	2237	0
1654	1049	1
3017	189	1
576	2385	0
2119	1243	1
1924	376	0
2667	806	1
1278	368	0
2029	963	0
1028	976	0
298	419	0
1264	1049	1
2705	1532	0
2243	1568	0
3115	2156	0
998	1026	0
194	621	0
705	683	1
2462	671	0
2263	618	1
2859	1436	0
1649	1554	1
1230	341	1
1896	162	0
1271	2347	0
703	284	1
2763	705	1
2871	566	1
1679	445	1
1708	1001	0
2690	2296	0
271	1748	0
270	748	1
2218	1789	1
2461	1023	0
2859	1266	0
1240	1350	1
2525	784	1
831	2327	0
2874	742	0
1981	511	0
326	1935	1
1123	802	0
1881	563	0
1227	1969	0
1100	127	1
452	1975	1
185	1871	0
1550	1583	1
600	666	1
1592	0	1
898	218	1
480	1670	0
1009	2212	0
2123	533	1
2736	1368	1
1638	2235	1
2647	0	1
3212	1439	0
1259	1813	0
348	309	1
3086	206	1
1896	535	1
2835	1148	0
1108	1012	1
3139	1236	0
229	657	1
3156	1191	0
3278	341	1
3258	1219	0
186	1335	0
1541	1798	1
3327	1465	1
2413	627	1
2747	603	0
2239	748	1
1695	578	1
2455	1359	0
1116	1459	1
2437	667	1
3073	1928	0
82	37	1
2373	2185	1
513	113	0
2179	740	1
74	578	1
2401	397	0
2792	817	1
1604	1697	1
2077	1906	1
1015	2044	0
1619	1625	0
3260	250	1
2608	1319	1
498	316	0
68	1030	1
2776	1132	0
1265	368	1
2927	2268	1
2145	946	0
3167	611	0
2339	1049	1
1930	2263	1
475	692	0
587	759	0
246	1656	1
1924	1221	0
1283	1467	0
1014	778	1
807	382	1
1689	2029	0
1195	1629	0
2123	756	0
2880	309	1
662	1509	0
2156	155	1
3035	1181	1
542	206	1
1283	348	1
728	1466	1
846	714	0
2856	1433	0
248	1777	1
1686	292	0
838	582	0
492	2349	1
3010	2056	0
2053	139	1
2853	419	0
1675	1675	1
1855	588	0
1353	0	1
2610	517	0
1792	355	0
1129	1040	0
3188	765	1
1522	754	1
1332	1182	1
508	194	1
2161	966	0
2452	2334	1
2423	1554	1
1698	1080	0
3272	2024	0
2588	1539	0
328	749	0
3267	557	0
452	926	0
3031	979	0
1823	987	1
1424	4	1
2797	1875	1
2831	587	0
1657	1277	1
367	850	0
1987	1168	1
1056	2299	1
2859	1706	1
61	2271	1
1049	325	1
1446	776	1
2437	1447	1
1994	0	1
2200	2312	1
2435	1058	0
1604	1668	0
3128	1015	0
1608	1396	0
2918	695	1
2200	76	0
2518	2155	1
548	1114	0
1359	1669	1
1798	987	1
503	238	0
790	383	1
527	1898	0
1696	2259	1
2639	739	1
194	2281	1
2100	681	0
3036	196	1
337	288	0
1736	1669	1
1679	2154	0
41	1265	0
1593	1484	0
1957	767	1
2040	1817	1
423	207	0
1029	1448	1
255	2248	1
2115	1975	1
2027	88	0
132	2183	0
2785	158	0
2037	1199	0
298	518	0
2375	1858	0
1973	1178	0
784	1608	0
954	1672	0
1087	2312	1
134	1756	1
467	2178	0
2418	2150	0
923	2237	0
1679	1646	1
1630	544	0
3271	772	0
1116	825	0
237	627	0
2686	2114	0
3073	681	0
2016	2087	1
3241	1459	1
1043	798	1
1447	889	1
1120	975	1
1119	1925	0
2566	92	0
1754	587	1
2648	390	1
2994	1554	1
1736	1865	0
734	291	0
738	1589	0
1388	1669	1
234	706	1
443	1911	0
2933	1256	0
1716	2228	0
1732	215	0
622	1129	1
2571	746	1
2444	688	1
148	298	0
1296	1109	0
3109	37	0
33	1369	0
400	2271	0
444	1694	0
1848	739	1
2266	406	0
52	793	1
1883	1877	0
876	183	1
3031	1194	1
623	2117	0
2985	1693	0
1696	1312	0
1202	1741	1
1493	1600	1
1223	2232	1
1391	850	1
1996	1769	0
1691	1323	0
1494	344	0
1057	155	1
1811	1664	0
1593	2406	1
2501	835	0
1583	775	1
128	274	0
2023	973	0
736	1866	1
283	975	1
2154	1284	1
1713	797	1
713	1723	1
1979	2047	1
2609	171	0
341	1463	1
2019	1258	0
1111	1339	0
549	2389	1
1834	926	0
2792	1454	1
1766	2312	1
75	490	0
328	6	0
2776	699	0
971	1212	0
2648	1389	1
1740	866	1
1104	178	0
2334	1727	0
2091	1687	1
1353	1669	1
1683	972	0
1657	1296	1
3128	633	1
25	302	1
1716	2113	0
188	2372	0
2506	1264	1
1393	2409	1
12	1311	1
197	1982	0
58	845	1
504	657	1
1757	826	1
122	247	1
1133	1249	0
1398	1344	0
681	897	0
3066	728	1
3043	755	1
1271	601	0
3223	2039	0
2507	845	1
2218	1129	1
2241	499	1
3212	859	1
3139	2178	1
2003	646	0
287	1753	0
2306	2377	0
879	1986	0
2297	1766	0
1634	1936	0
444	1232	0
3298	1579	0
1139	750	1
1805	385	0
2029	1091	0
1801	869	0
1637	912	0
2840	1456	0
438	768	1
689	2221	0
837	2422	1
542	2165	1
2339	577	1
354	739	1
122	69	0
1185	775	1
3173	12	1
2236	2161	0
3053	1761	1
2499	1774	1
1605	1918	0
3050	177	0
523	1442	0
1120	1886	1
230	748	1
1214	744	1
854	806	1
2776	156	1
651	1889	0
984	524	0
3284	1205	1
2180	850	1
3080	183	1
3229	204	1
677	368	0
548	1604	0
1930	817	1
2477	765	1
821	37	0
2278	1365	0
79	160	0
3024	807	0
2543	2320	0
587	632	1
2009	1744	1
2893	1956	0
983	823	1
633	1346	0
3035	231	1
9	1735	1
1141	1799	0
1757	1840	0
2988	2125	1
1136	1596	0
3166	858	0
147	1697	1
273	1776	1
610	25	0
1979	1938	0
2908	66	0
2071	567	1
2040	2339	1
1223	1809	1
495	418	1
3269	1874	0
1973	1250	0
102	2280	0
1430	475	0
451	1445	0
2859	854	0
713	1669	1
1811	2186	1
769	2150	1
1419	589	0
3232	796	0
3162	579	0
2528	2418	0
868	517	1
2076	1388	1
2169	1499	1
670	21	0
1366	1797	0
1591	1088	0
2264	1643	0
903	1762	1
2382	425	0
3064	2038	0
1259	96	0
2792	2322	0
972	817	1
3136	1627	0
1181	837	1
234	354	0
2139	1906	1
1716	435	1
2174	1760	1
1909	1494	0
1450	554	0
1835	799	1
2258	2006	0
1529	1992	0
1482	1373	0
1610	2141	0
2161	231	1
1424	725	0
540	1895	0
1942	632	0
122	946	0
137	662	1
2918	1458	1
1696	2067	0
1193	792	1
816	1014	0
3298	857	1
1421	1175	1
1446	1687	1
910	1989	0
1968	1207	1
2224	847	0
2641	2185	1
3267	392	0
2222	1722	0
4	1131	1
1180	541	1
1968	2006	0
1874	2285	1
766	1359	0
2123	1204	1
1795	2423	0
888	1183	1
172	2099	0
1056	745	1
839	1098	0
1697	746	1
133	0	1
2803	1799	0
16	524	0
2315	654	0
1979	1076	1
1302	1784	1
501	2066	0
2144	108	1
1938	794	1
215	1477	0
460	1211	1
1403	1322	1
465	1731	1
734	1447	1
1979	336	0
1243	379	1
492	659	0
47	2125	1
519	1590	0
3161	541	1
764	761	1
1448	1487	0
2167	239	1
3054	1836	1
300	2334	1
2278	816	0
2434	0	1
376	2148	0
790	1205	1
2528	2185	1
828	2038	1
2881	2221	0
441	2277	0
1296	1010	1
3031	274	1
1241	1427	1
2776	1417	1
506	945	0
68	165	0
1311	930	1
1834	1743	0
3172	753	1
1354	722	0
3279	2342	0
1133	1735	1
1035	0	1
2875	719	0
1942	1342	0
244	1573	0
542	678	0
3170	529	0
1271	2064	0
732	2167	0
1675	620	1
1483	2357	0
1357	1777	1
3311	1926	1
1747	0	0
756	818	0
2040	2118	0
3019	1232	0
3032	743	1
1464	1179	1
2471	644	0
2172	265	0
2859	2290	0
1840	619	1
720	1881	1
2897	778	1
3141	160	0
1578	1133	0
1604	908	0
1050	2	1
1559	1774	1
1824	767	1
2817	2182	0
677	765	1
1202	85	1
2969	2117	0
2839	1524	0
1894	1175	0
1881	1779	1
1697	1413	1
1067	2061	0
260	285	0
3279	198	0
3162	1069	0
2140	2113	1
129	1040	0
1766	659	1
1777	895	1
2339	1691	1
1062	22	1
2352	206	1
3308	1849	0
1284	2001	0
1775	794	1
1436	785	1
201	128	0
2571	633	0
2513	1721	0
1644	664	1
1605	2363	0
3000	1861	0
2029	1833	1
2823	740	0
2062	1179	1
1450	1171	1
2067	1400	0
1149	1882	0
244	2213	0
2115	2	1
3300	901	0
2528	213	1
737	2082	1
983	661	1
3188	237	1
1589	798	1
625	0	1
1805	880	0
492	889	1
2729	1696	1
1332	1370	1
224	62	0
1226	166	1
22	382	1
947	543	0
2787	2118	0
2299	917	0
2900	1384	0
636	2410	0
530	1280	1
1103	1967	0
1450	220	1
3146	1734	0
1757	1983	1
272	1128	0
2908	1218	0
2323	1152	0
3242	1369	0
292	1795	1
1896	1842	1
854	1029	0
1123	1049	1
1668	1374	1
273	1949	0
431	1683	0
1789	285	1
988	464	0
2123	1618	1
1979	1831	0
523	1221	1
743	2365	0
3207	1292	0
2082	2306	0
1834	1775	0
2454	1554	1
657	2184	1
1742	2290	0
1322	1316	0
2792	2273	1
37	2104	0
1477	304	0
720	163	1
508	1248	0
565	356	1
156	34	0
2410	355	0
3279	795	1
2016	1933	0
1679	1113	0
709	9	0
614	784	1
150	1815	0
1896	1072	0
3189	2301	0
2030	2435	0
530	85	1
475	2021	0
2848	1362	0
95	0	1
910	1455	0
1441	2008	1
650	1862	1
3249	1707	0
2306	1131	1
1067	167	1
313	996	1
691	2093	1
2004	469	0
404	1191	0
1693	2306	1
2739	578	1
3260	899	1
726	594	1
1127	1699	0
2899	1183	1
124	627	1
3196	768	1
1009	1212	0
3285	574	1
72	624	1
148	297	1
2580	1121	0
2623	2257	0
3147	751	1
2598	2386	0
1608	1203	0
736	22	1
1284	195	1
1508	1713	0
1446	1175	1
2729	753	1
1723	748	1
2879	995	0
1259	237	1
2608	2087	1
2773	112	0
41	802	0
1519	769	1
2072	148	1
700	1692	0
2167	2417	0
795	596	1
536	58	0
1016	5	0
3323	1056	0
100	2075	1
709	753	1
110	964	1
2978	760	1
853	2151	1
3280	562	0
3051	474	1
380	1433	0
769	309	1
3307	1426	0
1915	2174	0
2422	768	1
1033	1223	0
2333	1257	0
548	932	0
636	1925	0
1633	525	1
2669	2052	0
3128	146	1
312	2222	0
2394	419	0
2802	2296	0
2250	149	0
1302	239	0
885	2223	1
1981	537	1
745	737	1
2763	2248	1
176	578	1
1138	1120	0
189	1674	0
2858	200	0
1099	857	1
1316	208	0
3069	744	1
2222	2087	1
1120	1186	0
549	712	1
52	1154	1
1293	1926	1
2664	1301	1
1865	1516	1
2560	1157	1
1208	1630	0
2019	1451	1
1149	2302	1
1953	989	1
3299	2384	0
1545	1402	1
511	2302	0
817	1667	0
1678	1810	1
412	1177	1
2898	2164	1
2115	302	0
2187	218	1
2607	1574	1
809	2444	0
1697	1566	1
1649	1960	0
1049	1577	0
1874	1803	0
1940	1019	1
876	1687	1
126	379	1
2928	670	1
3095	1645	1
3276	392	0
1683	2042	1
1169	2301	0
3299	1551	0
2401	203	0
335	2096	0
2894	207	0
2390	961	0
18	797	0
1300	1502	0
1834	2165	1
2908	1185	1
2898	2206	0
838	1784	1
3209	667	1
1061	2026	0
1167	632	0
1625	43	1
3286	478	1
3080	2087	1
1606	1403	1
3128	2306	1
2246	1403	1
1221	2151	1
801	1350	1
566	841	1
423	1304	1
2239	582	0
2528	160	1
942	1978	1
1087	92	0
1087	2046	1
936	727	0
3216	1978	1
1394	67	0
2733	740	1
2147	1007	0
2100	1554	1
2097	2089	1
269	1719	1
3057	1387	0
638	837	1
748	818	0
1670	783	1
1489	765	1
2751	1016	1
2062	218	1
57	2110	0
1087	2076	0
3235	2240	0
133	1189	0
272	1205	1
703	519	0
2871	2409	1
318	1903	0
928	718	0
1489	2339	1
2323	1668	0
1518	505	0
567	169	0
26	2242	0
2756	166	0
1834	1468	0
2879	220	1
2784	2272	1
888	742	1
508	1257	1
852	616	1
2736	1555	0
351	738	1
1644	1689	1
2693	1586	0
1242	762	1
3313	1764	0
1284	777	1
2755	1624	1
79	1883	1
2908	163	1
3084	2042	1
263	1406	0
176	1891	0
1382	989	1
387	2112	1
861	202	0
1700	765	1
2046	1495	0
933	846	0
1697	1404	0
2366	665	1
2623	1025	0
1264	91	0
2996	915	0
936	2440	0
35	1251	1
2571	1669	1
1958	2049	1
1915	1818	1
980	165	1
2864	652	0
2563	1669	1
2912	1635	0
821	1397	1
1424	239	1
2593	2390	0
427	63	1
1811	225	0
2951	134	0
1680	1971	0
645	2257	0
161	627	1
3003	2339	0
1751	1208	1
550	1949	0
2648	1132	0
466	471	0
1272	1123	0
1747	528	0
786	268	0
928	1127	0
2115	756	1
912	1462	1
1293	1647	0
2086	972	0
1879	1790	1
2264	802	1
2163	158	0
1587	474	1
1745	224	0
3128	599	0
1754	2087	1
2402	1870	0
2108	1906	1
1608	1225	1
2824	1731	0
2717	1012	1
2230	948	0
720	1176	0
3270	462	0
538	794	1
2173	364	1
1856	1668	1
1940	589	1
272	856	1
995	1209	0
203	662	1
713	608	0
2819	1390	1
1976	1803	0
488	1696	1
2961	841	1
1388	1629	0
1201	2339	1
3085	37	0
2241	2131	0
2877	1796	1
2184	737	1
2009	2396	0
3204	2079	0
1429	379	1
3284	1074	0
2202	1146	0
2963	673	0
1015	1016	1
1419	540	0
2730	31	1
1136	1317	1
3269	745	1
2171	1839	0
790	163	0
2740	220	0
1504	1845	0
2301	418	1
753	2366	0
876	1518	0
2861	1327	1
1496	1103	0
1751	2380	1
1167	1618	1
927	1624	1
1315	1173	0
1779	1817	1
325	1254	0
854	285	1
320	1610	1
533	1859	0
2908	2155	0
481	1688	1
