userID	itemID	label
3590	7253	1
4860	6860	0
14380	7553	1
2284	6637	0
2211	3358	1
49	3219	1
583	7971	1
9308	661	0
11266	11299	1
1916	4272	0
15392	10128	1
6104	5259	1
3649	10243	0
5213	1411	0
5784	6751	1
15060	9366	0
5505	10556	1
328	2279	1
12104	5258	0
399	8477	1
3568	10892	0
2373	7330	1
11338	3253	1
11121	2965	0
2254	685	1
4699	11433	0
987	715	1
1518	3652	0
3113	5256	1
12997	4669	1
6065	10438	1
2169	2188	0
15015	4093	1
686	6802	0
634	1439	0
15179	5590	0
8482	11098	1
982	5522	1
143	10103	1
15473	9494	0
3520	1416	0
530	185	0
1571	11319	0
17	2548	0
7028	11206	1
2777	4563	0
11323	7640	1
1484	8997	1
4732	10185	1
251	4669	1
1813	4025	0
8471	8704	1
3281	11312	0
5885	9204	0
8759	7038	1
6466	3729	1
830	10393	1
529	5091	0
12048	10021	1
10521	2274	0
16216	1604	1
13341	724	1
3637	10256	0
14770	5883	0
12731	6785	1
9749	4061	1
346	4966	0
3760	9143	1
8860	1381	0
6049	8886	0
5320	6835	0
50	695	1
6358	9135	0
2523	6349	1
13516	7293	1
427	331	0
6182	2971	0
9521	165	0
5373	2128	1
3322	6364	0
6388	5873	0
2372	6451	0
7148	9943	1
806	8087	1
7351	2126	0
819	2902	1
4562	6903	0
4690	11359	0
258	5664	1
5866	4712	0
12512	10295	0
13563	7047	1
4187	5716	1
7338	4391	0
664	2223	1
10750	9143	1
581	804	1
38	11229	1
12494	10798	1
10934	2776	1
16289	2709	0
10282	1983	1
8768	5005	1
1009	198	1
1835	6432	1
3298	902	0
10858	2107	1
14070	9151	1
9379	7514	1
3139	452	0
4214	8997	0
14950	3384	0
7274	2180	0
13010	2835	1
5123	4008	1
7843	5969	1
11699	2839	1
13667	1755	1
6429	879	0
6653	324	0
14584	9340	0
2408	3712	0
6223	8435	0
7010	2850	1
9012	5273	0
1945	8871	0
7382	1139	0
26	3160	0
1892	618	0
3206	9173	1
10439	7342	0
2022	755	0
3154	498	0
14883	11098	1
13841	11428	1
650	1771	1
7569	1402	1
4454	10595	1
1257	3990	1
12083	5795	1
393	9515	1
3637	3884	1
15350	8412	0
1870	6909	1
12936	4324	1
10274	3525	1
479	6390	1
12807	11161	0
15669	819	0
13092	6125	0
12486	8161	1
726	5746	1
1464	9691	0
3070	7447	1
16211	2496	0
639	2321	1
6266	760	1
299	8017	1
2751	4911	0
3614	5343	0
6434	3519	1
9432	5429	0
5383	8278	0
13302	2428	0
7754	8423	1
3981	11200	1
79	4796	0
647	10617	0
13525	6307	1
9084	10325	0
5838	9430	1
7010	3277	0
11530	7026	0
10595	2128	0
8559	2903	0
3669	5739	1
1749	10027	0
425	6381	0
12957	9245	1
8913	11147	0
16178	9424	1
3801	7989	0
667	3457	0
9553	3254	1
7119	5491	0
11185	1445	1
15347	11291	1
2918	6246	1
1332	10252	1
10385	4861	0
16145	1308	0
6358	9511	0
12601	2189	1
15054	8574	0
14360	6202	1
198	290	1
5378	2336	0
763	9085	1
11468	8775	0
9407	5433	0
8023	7841	0
6597	7874	1
270	2760	0
15916	7629	1
3681	1276	0
10280	6689	1
0	6888	1
4816	1186	0
6354	6167	1
964	9811	1
14430	3301	0
2958	2605	0
15728	11299	0
10199	6345	0
11035	101	0
6672	6196	1
3270	6811	1
311	4242	1
2055	4696	1
10557	7736	1
2463	9973	1
2955	8185	0
3088	3954	0
6072	9201	1
1732	7965	0
583	1340	1
32	7835	0
8794	1122	1
143	8490	0
763	2107	1
765	6856	1
291	8100	1
303	10779	0
15092	8124	1
733	2373	1
763	4417	1
11674	4062	0
1158	11028	1
7108	10669	0
6499	11457	0
587	9073	0
6889	2508	1
1973	8526	0
2523	8347	0
925	5110	0
8579	499	0
12590	9936	0
2047	6079	1
12	4424	1
1574	9332	0
1509	8802	0
6406	1998	1
813	4546	1
2791	9691	0
285	9600	1
9831	7521	0
109	4541	0
450	90	1
6156	7443	0
6935	1181	0
326	3321	1
913	259	1
860	509	1
10070	6839	0
5622	7323	1
8310	8667	1
1856	234	1
978	10379	1
4443	6094	0
5414	9865	1
7536	1365	0
1431	10341	1
16058	11014	0
7784	1070	1
12458	4472	1
1535	2173	0
2337	1427	0
7596	5657	0
15526	4551	0
600	8149	0
6207	8734	0
15252	462	1
8297	8468	0
3788	2909	1
15605	1809	0
3653	8132	1
9047	8923	0
129	1836	1
2202	5908	0
2703	6822	1
9950	3333	0
3874	9990	1
1099	4623	0
1420	9816	1
6825	325	1
75	3954	0
9169	704	1
12910	5304	0
315	2520	1
3606	6750	0
5439	2016	1
3383	4608	1
3583	11051	1
114	1740	0
4824	3945	0
10722	2212	0
14937	5339	1
3454	3233	0
386	1449	0
774	832	1
15408	8446	0
6610	9398	0
472	4044	0
280	11414	1
6520	8600	1
714	317	1
871	8912	1
3708	11151	1
9165	6161	1
8249	9134	0
3691	3518	0
1615	9304	0
1022	8823	1
1844	64	0
107	3658	0
1604	640	0
43	1155	0
346	3809	1
648	11413	1
5360	11026	1
14203	2551	0
2169	3613	1
1952	1251	0
342	4305	0
1086	9148	1
15780	5730	1
9622	7972	0
2933	8072	0
2536	6021	0
1415	7888	1
2523	4950	0
11713	9358	1
5950	5913	1
10426	3987	1
4354	6862	1
9424	5522	1
2097	5587	1
3373	9603	1
5606	7404	0
11709	11479	0
3874	8524	1
6303	5539	0
7402	3229	0
6223	4691	0
7882	3503	0
1499	2874	1
2458	10484	1
170	6151	0
5084	7247	1
15635	3331	0
648	2122	1
4156	4668	1
11506	1169	0
487	8734	1
12136	5605	1
2227	11160	1
9560	3081	0
7287	1391	0
3367	7258	1
1908	8460	0
245	392	0
2598	10276	0
7750	1585	1
13490	8462	1
2015	4721	1
3064	2034	0
906	10980	0
15731	9575	1
5637	6103	1
655	6646	1
5873	9361	0
2005	5299	1
13547	601	1
2086	2366	0
9352	353	1
301	2757	0
1166	3998	0
4391	4062	1
62	6634	0
198	10379	1
8377	9932	0
930	1141	0
1003	3554	1
751	2770	0
13072	3961	1
10561	8445	0
9151	1335	0
7355	1414	0
3679	4218	0
140	11446	1
5849	2424	1
564	4301	1
8502	1869	0
10806	4818	0
4562	4073	1
11442	364	1
11544	382	0
1706	3966	1
1417	5575	0
5499	1938	0
9922	829	1
14145	10299	1
656	9578	0
733	10255	1
12510	11182	0
143	1655	1
12226	5052	0
14134	7092	1
3290	8427	0
14799	10353	1
2050	7828	1
1766	7896	0
2439	746	1
16161	7066	1
3729	7354	0
315	4777	0
4435	8383	0
825	2356	0
11528	6987	1
4298	11062	1
6486	4247	0
2119	7656	1
1740	4060	0
12540	4268	1
10958	2892	1
8315	1514	0
5047	688	0
10723	8626	0
1104	5679	1
6403	3686	1
10203	11407	1
477	6822	1
4781	1968	0
16189	6888	0
10750	3420	1
10188	4415	1
7560	364	1
14763	5843	0
4528	2280	0
3981	977	0
3191	995	0
5195	3613	1
240	9829	1
15994	6259	1
8755	8933	1
3356	8817	0
12780	5054	0
15595	612	0
1214	10280	0
14136	7410	0
2330	8762	0
6179	463	0
2794	8222	0
14527	3178	0
5030	1282	0
2313	3527	1
358	5582	0
681	5936	1
3584	7585	1
8528	9852	0
14385	9738	0
6871	834	1
9344	85	0
5514	10185	1
766	4748	0
4240	6504	0
14180	1525	1
3153	8953	1
8797	2851	1
14761	3257	1
2774	9909	1
1189	6186	0
5354	7685	0
15996	3645	0
6421	10179	1
14582	1159	0
4093	2996	0
334	7971	1
5962	5285	1
1926	1065	1
2022	1674	0
12404	5929	1
5745	11206	1
14023	5238	0
1585	11270	0
2469	987	0
2620	213	1
50	2450	1
675	6689	0
3493	11095	0
9410	1226	1
6693	9915	1
987	1756	0
13921	7127	0
4477	10956	0
2600	11398	0
2699	10704	1
11212	4439	0
4461	3574	0
1160	6168	0
14481	777	0
396	6505	0
2053	7965	0
13657	815	0
8442	7848	1
10658	465	0
389	3268	0
4770	3247	1
2659	3556	0
826	7901	1
2216	6970	0
14180	6461	0
12318	7733	1
3793	2027	0
10379	8386	0
5386	2254	0
5245	2070	0
14	10415	1
5307	4801	1
7591	1140	0
16000	7122	1
11273	8212	0
14876	7323	1
275	10833	1
1745	234	1
9612	1794	1
675	8820	1
12448	11446	1
380	7047	0
2111	6788	1
10815	6047	0
2067	4313	1
719	5663	1
996	1211	0
13897	119	1
839	7213	1
13207	2110	1
888	1208	1
10989	1768	0
2478	4470	1
1799	10486	1
1506	1097	1
598	2628	0
9677	10817	0
9918	1080	0
5705	2500	1
2655	7863	0
10964	7059	1
10709	8359	0
14558	4783	0
143	8851	0
4362	31	0
144	11372	0
3421	6787	0
8707	2037	1
143	2096	0
9810	10480	0
2071	7677	0
3970	5885	0
3059	1772	1
12784	872	1
13996	1364	0
4003	732	0
1001	9494	0
2951	7119	1
5115	9642	1
595	5927	0
12308	3775	0
5247	1275	0
5571	4654	0
3064	10829	1
134	3045	1
8657	3251	0
345	6793	1
3360	2268	1
2180	4555	1
950	9952	1
9855	2319	1
2330	5388	1
14139	1300	1
5427	9503	1
3814	9515	1
13668	8949	1
1472	7655	0
1171	10546	1
726	3296	0
970	2146	1
3774	2114	1
1308	11465	1
6742	9127	0
2808	2177	0
5451	7304	0
12946	7521	0
7017	3092	0
5767	828	0
12609	10039	0
2654	7065	0
16002	8950	1
15234	2960	1
427	2263	0
1780	2196	0
394	4644	1
55	1658	0
597	2425	1
1104	1933	1
6320	3846	1
14327	7071	0
2789	10829	1
11896	10219	0
14270	7998	0
1741	1622	0
8821	10150	0
505	5539	0
8001	3979	1
1159	9162	1
4513	2017	1
10440	9915	1
857	8390	1
118	5399	0
2096	20	0
9535	5917	1
7522	4241	1
4435	3546	1
1594	8984	0
15621	5671	0
15589	4721	1
10328	10315	0
8212	4408	1
12181	3775	1
15491	8188	1
16196	2686	1
1374	5398	0
5240	1149	0
4676	1074	1
2471	2583	1
8148	10708	0
3207	7837	1
4430	2424	1
68	7275	0
603	2602	0
980	4787	0
4301	5793	1
9416	5715	1
6266	10445	0
311	8076	1
10684	5800	1
7377	4669	1
13927	7877	0
7557	1690	0
2195	4951	0
3083	11095	1
292	7388	0
13398	2800	1
342	4829	0
1359	1353	0
2471	118	1
14993	8551	0
692	1768	1
1253	329	0
13304	2227	1
6583	4482	0
3860	9762	1
1588	9300	0
15661	2413	0
8802	803	1
10972	4998	1
6154	10827	1
14199	4738	1
1271	3646	1
10592	2042	0
5289	4517	0
3464	8450	0
11676	9216	1
1286	10443	0
7141	11373	1
1148	477	1
342	5908	1
257	1911	0
7756	9614	0
0	3793	1
12092	6993	0
9129	10118	1
1352	7377	1
826	1983	0
11780	315	0
15487	85	0
14445	10264	0
4268	10081	0
5385	6199	0
1355	2677	0
8640	6243	1
240	9482	0
2979	8782	1
950	9998	0
1245	3787	1
5927	892	0
14157	1829	0
1860	6323	0
8939	7949	1
496	736	0
14772	10902	1
305	8990	0
13289	4388	0
3690	1488	0
5098	2541	1
2989	4553	0
2315	5800	1
630	6338	1
1738	2114	1
815	1289	0
5161	5936	1
12057	5041	1
14545	2086	0
1552	4061	1
6380	6512	1
504	5057	1
14754	1916	1
14886	4874	0
4236	688	0
7709	11365	0
5207	10849	1
5419	11178	0
7910	6054	0
505	583	1
12089	10915	0
14449	9515	1
4144	997	1
10364	8004	0
591	5961	0
2033	8374	1
12027	9650	0
9778	1888	1
99	565	0
565	7397	0
9675	9788	0
692	7064	0
4281	902	1
1346	10995	0
13793	9126	0
2202	8277	1
15764	10550	0
3266	3558	1
3402	257	0
3646	2017	1
10456	4841	0
3803	5511	1
6484	8475	1
8046	8729	0
11095	7070	1
4372	11168	1
15490	6288	1
4721	7992	0
1942	4156	0
204	10339	0
6813	6011	0
14135	2591	1
789	1490	1
15545	7323	1
1164	5942	0
6937	7067	1
13515	9812	0
8471	9472	1
662	5469	0
9922	5566	0
687	6195	0
8182	3877	1
6004	8695	0
13185	8118	0
3845	7682	0
2973	8726	0
2421	467	1
1312	9463	1
13420	1999	0
73	3190	0
1857	8793	1
2106	1242	0
2535	6134	0
140	7209	1
8093	6673	0
950	4654	1
9914	5716	1
360	3148	0
411	4664	0
5149	10830	0
13060	6038	0
11846	10194	1
2420	1454	0
5558	4036	0
1973	9315	1
8487	5945	1
15681	940	1
2528	6606	0
14298	3524	0
1416	5470	0
14740	8650	1
273	6048	1
10102	5452	0
2239	10961	1
14726	7986	1
11839	2330	0
1821	9641	1
5569	446	1
2236	3797	1
2432	115	1
16145	5073	0
5595	8970	1
806	9565	1
5165	3082	0
8017	1602	0
558	2496	0
3058	2465	0
774	10235	0
122	11381	0
4013	3349	1
4896	290	1
15935	381	1
987	1806	0
9258	3178	1
6135	10085	0
3181	8613	0
10867	4636	0
8098	582	1
1511	10299	1
7696	6832	0
280	7797	1
647	984	1
7505	5359	0
116	9179	0
339	7759	1
3576	8482	0
7084	7663	0
228	3948	0
8509	10547	0
8480	4938	1
14240	2795	1
1406	791	0
1212	10842	0
13124	7487	0
1926	10639	1
3085	6989	0
8029	7546	1
11739	3475	0
3733	10428	1
15491	3770	1
1582	1544	1
